ra,ano,fase,pedra,idade_unificada,genero,bolsa,ian,ida,ieg,iaa,ips,ipp,ipv,inde,delta_ida,delta_ieg,delta_ips,risco_defasagem
RA-1111,2023,Fase 2,Agata,0,Feminino,Não,10.0,5.4,8.9,0.0,2.52,8.125,8.173333333,6.559166667,0.0,0.0,0.0,0
RA-1111,2024,Fase 3,Agata,12,Feminino,Não,10.0,5.0,4.600414078666667,6.249,7.5,6.5625,5.824,6.116032815733334,-0.40000000000000036,-4.299585921333334,4.98,0
RA-1112,2023,Fase 2,Ametista,12,Masculino,Não,5.0,6.3,7.9,9.5,2.52,8.333333333,8.616666667,7.088866667,0.0,0.0,0.0,1
RA-1112,2024,Fase 3,Agata,13,Masculino,Não,10.0,4.0,9.02791197,9.585,8.135,5.375,4.705,6.856082394,-2.3,1.1279119699999995,5.615,0
RA-1113,2023,Fase 2,Quartzo,0,Masculino,Não,5.0,5.0,6.0,0.0,7.52,7.5,7.173333333,5.636666667,0.0,0.0,0.0,1
RA-1114,2023,Fase 2,Ametista,11,Feminino,Não,10.0,4.9,9.8,8.5,2.52,8.125,8.56,7.5667,0.0,0.0,0.0,0
RA-1114,2024,Fase 3,Ametista,12,Feminino,Não,10.0,5.0,9.533333333333331,8.751,2.51,8.375,7.836,7.437466666666667,0.09999999999999964,-0.26666666666666927,-0.010000000000000231,0
RA-1115,2023,Fase 2,Agata,0,Feminino,Não,10.0,4.0,8.3,0.0,7.52,7.5,7.56,6.474,0.0,0.0,0.0,0
RA-1115,2024,Fase 2,Agata,12,Feminino,Não,10.0,6.25,4.2676767675,8.002,7.51,7.5,5.826666667,6.570068686900001,2.25,-4.0323232325000005,-0.009999999999999787,0
RA-1116,2023,Fase 2,Agata,13,Masculino,Não,5.0,4.9,9.2,9.5,5.0,7.083333333,7.39,6.956533333,0.0,0.0,0.0,1
RA-1116,2024,Fase 3,Quartzo,15,Masculino,Não,5.0,2.333333333333333,3.3555555556666667,0.0,6.26,5.125,5.066,3.7894777778,-2.5666666666666673,-5.844444444333332,1.2599999999999998,1
RA-1117,2023,Fase 2,Topázio,0,Feminino,Não,10.0,7.3,9.6,9.0,7.52,7.708333333,7.946666667,8.382366667,0.0,0.0,0.0,0
RA-1117,2024,Fase 3,Ametista,12,Feminino,Não,10.0,5.666666666666667,8.314814814666667,8.751,7.51,8.125,6.833333333,7.601562962866668,-1.6333333333333329,-1.285185185333333,-0.009999999999999787,0
RA-1118,2023,Fase 2,Ametista,0,Feminino,Não,5.0,6.0,8.8,5.3,7.52,7.708333333,8.28,7.163833333,0.0,0.0,0.0,1
RA-1118,2024,Fase 3,Ametista,14,Feminino,Não,10.0,3.8333333333333335,7.846439628666666,7.084,9.38,6.75,6.866,7.0305545924,-2.1666666666666665,-0.9535603713333343,1.8600000000000012,0
RA-1119,2023,Fase 2,Ametista,13,Feminino,Não,5.0,5.9,9.7,7.3,3.77,7.708333333,8.453333333,7.192,0.0,0.0,0.0,1
RA-1119,2024,Fase 3,Ametista,14,Feminino,Não,5.0,5.666666666666667,8.716666666666667,9.585,7.51,7.625,7.698,7.388266666666667,-0.2333333333333334,-0.9833333333333325,3.7399999999999998,1
RA-112,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,8.5,7.8,7.9,6.3,,8.833,7.836,0.0,0.0,0.0,1
RA-112,2023,Fase 5,Ametista,0,Feminino,Sim,5.0,7.4,8.1,6.7,5.0,7.96875,7.9225,7.141308333,-1.0999999999999996,0.2999999999999998,-1.2999999999999998,1
RA-112,2024,Fase 6,Topázio,17,Feminino,Sim,10.0,8.0,7.978174603333333,7.083,7.51,7.96875,8.004,8.052609920666667,0.5999999999999996,-0.12182539666666692,2.51,0
RA-1120,2023,Fase 2,Topázio,11,Feminino,Não,10.0,8.3,9.6,9.5,7.52,8.958333333,9.676666667,9.103366667,0.0,0.0,0.0,0
RA-1121,2023,Fase 2,Topázio,0,Masculino,Não,10.0,8.0,9.9,0.0,6.26,8.75,9.84,8.049,0.0,0.0,0.0,0
RA-1121,2024,Fase 3,Topázio,12,Masculino,Não,10.0,6.666666666666667,10.0,9.585,7.51,7.083333333,8.28,8.407166666633334,-1.333333333333333,0.09999999999999964,1.25,0
RA-1122,2023,Fase 2,Ametista,11,Masculino,Não,10.0,6.9,9.3,0.0,6.89,7.291666667,8.616666667,7.3715,0.0,0.0,0.0,0
RA-1122,2024,Fase 3,Ametista,12,Masculino,Não,10.0,5.333333333333333,9.861111111,8.751,7.51,7.083333333,7.22,7.817322222166666,-1.5666666666666673,0.5611111109999989,0.6200000000000001,0
RA-1123,2023,Fase 2,Agata,0,Masculino,Não,5.0,5.3,8.9,7.3,7.52,7.083333333,7.113333333,6.9565,0.0,0.0,0.0,1
RA-1124,2023,Fase 2,Agata,14,Feminino,Não,5.0,3.0,8.0,9.5,7.52,7.083333333,7.786666667,6.667866667,0.0,0.0,0.0,1
RA-1125,2023,Fase 2,Agata,0,Feminino,Não,10.0,4.0,7.9,4.7,7.52,6.666666667,6.95,6.655366667,0.0,0.0,0.0,0
RA-1127,2023,Fase 2,Topázio,0,Feminino,Não,10.0,6.9,9.9,8.5,5.02,8.125,9.01,8.3167,0.0,0.0,0.0,0
RA-1127,2024,Fase 3,Topázio,12,Feminino,Não,10.0,5.833333333333333,10.0,9.168,7.51,8.125,7.67,8.180966666666668,-1.0666666666666673,0.09999999999999964,2.49,0
RA-1128,2023,Fase 2,Agata,12,Masculino,Não,5.0,3.5,7.3,9.5,5.02,7.916666667,7.503333333,6.404533333,0.0,0.0,0.0,1
RA-1129,2023,Fase 2,Ametista,11,Masculino,Não,10.0,7.8,9.2,0.0,6.27,7.916666667,7.503333333,7.309333333,0.0,0.0,0.0,0
RA-1129,2024,Fase 3,Ametista,12,Masculino,Não,10.0,6.833333333333333,7.137254902,9.168,8.13,6.875,5.745,7.360417647066668,-0.9666666666666668,-2.0627450979999997,1.8600000000000012,0
RA-113,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,3.7,0.0,0.0,5.0,,3.792,3.032,0.0,0.0,0.0,1
RA-113,2024,Fase 5,Ametista,16,Feminino,Não,5.0,6.666666666666667,7.063851181666667,8.751,7.51,7.5,7.106666667,7.043536903066667,2.966666666666667,7.063851181666667,2.51,1
RA-1130,2023,Fase 2,Topázio,11,Masculino,Não,10.0,7.3,8.4,8.5,7.52,7.708333333,7.503333333,8.0037,0.0,0.0,0.0,0
RA-1130,2024,Fase 3,Agata,12,Masculino,Não,10.0,4.333333333333333,6.278431372666667,8.751,8.13,6.875,5.33,6.563952941199999,-2.966666666666667,-2.1215686273333336,0.6100000000000012,0
RA-1131,2023,Fase 2,Topázio,12,Feminino,Não,5.0,9.1,9.9,7.9,5.02,8.75,9.286666667,8.316133333,0.0,0.0,0.0,1
RA-1131,2024,Fase 3,Topázio,13,Feminino,Sim,10.0,8.333333333333334,9.277777777666666,8.334,6.255,7.291666667,7.893333333,8.2889555555,-0.7666666666666657,-0.6222222223333347,1.2350000000000003,0
RA-1132,2023,Fase 2,Agata,12,Masculino,Não,5.0,5.8,6.3,10.0,6.27,7.916666667,7.503333333,6.829533333,0.0,0.0,0.0,1
RA-1133,2023,Fase 2,Topázio,10,Feminino,Não,10.0,6.5,10.0,9.5,6.27,8.541666667,9.343333333,8.600033333,0.0,0.0,0.0,0
RA-1133,2024,Fase 3,Topázio,11,Feminino,Não,10.0,4.5,9.841269841333334,9.168,8.75,8.125,8.83,8.238553968266668,-2.0,-0.15873015866666584,2.4800000000000004,0
RA-1134,2023,Fase 2,Ametista,11,Masculino,Não,10.0,6.8,9.7,8.0,3.76,7.916666667,7.56,7.769866667,0.0,0.0,0.0,0
RA-1134,2024,Fase 3,Ametista,12,Masculino,Não,10.0,6.0,8.914285714,8.751,7.51,7.708333333,6.883333333,7.7564571427,-0.7999999999999998,-0.7857142859999993,3.75,0
RA-1135,2023,Fase 2,Ametista,11,Masculino,Não,10.0,7.2,9.4,0.0,7.52,8.125,7.896666667,7.453833333,0.0,0.0,0.0,0
RA-1136,2023,Fase 2,Agata,13,Feminino,Não,5.0,6.6,8.1,6.8,2.52,8.333333333,7.723333333,6.7351,0.0,0.0,0.0,1
