ra,ano,fase,pedra,idade_unificada,genero,bolsa,ian,ida,ieg,iaa,ips,ipp,ipv,inde,delta_ida,delta_ieg,delta_ips,risco_defasagem
RA-123,2022,Fase 4,Nao_Informado,16,Masculino,Não,5.0,6.5,8.6,7.9,5.6,,7.292,7.084,0.0,0.0,0.0,1
RA-123,2023,Fase 5,Agata,17,Masculino,Sim,5.0,5.7,9.4,0.0,5.0,6.875,6.8375,6.068333333,-0.7999999999999998,0.8000000000000007,-0.5999999999999996,1
RA-123,2024,Fase 6,Agata,18,Masculino,Sim,5.0,7.166666666666667,8.412698412666666,7.5,5.635,6.71875,6.43,6.887248015866668,1.4666666666666668,-0.9873015873333344,0.6349999999999998,1
RA-1230,2024,Fase 7,Quartzo,17,Feminino,Sim,10.0,0.0,0.0,7.917,7.195,7.5,7.5,4.7612000000000005,0.0,0.0,0.0,0
RA-124,2022,Fase 4,Nao_Informado,14,Masculino,Não,10.0,6.7,7.8,7.9,5.0,,7.167,7.388,0.0,0.0,0.0,0
RA-125,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,7.1,8.5,8.8,7.5,,7.75,7.619,0.0,0.0,0.0,1
RA-125,2023,Fase 5,Agata,16,Feminino,Sim,5.0,5.8,7.7,9.2,5.0,8.125,7.835,6.989633333,-1.2999999999999998,-0.7999999999999998,-2.5,1
RA-125,2024,Fase 6,Agata,17,Feminino,Sim,5.0,6.166666666666667,5.6428571430000005,8.334,7.51,7.34375,7.232,6.627079761933334,0.36666666666666714,-2.0571428569999997,2.51,1
RA-126,2022,Fase 4,Nao_Informado,15,Masculino,Não,5.0,4.4,5.8,7.1,7.5,,7.417,6.289,0.0,0.0,0.0,1
RA-127,2022,Fase 4,Nao_Informado,14,Feminino,Não,10.0,7.9,8.7,7.5,7.5,,8.125,8.283,0.0,0.0,0.0,0
RA-127,2023,Fase 5,Ametista,15,Feminino,Não,10.0,6.4,7.8,8.8,6.26,8.4375,8.6725,7.91935,-1.5,-0.8999999999999995,-1.2400000000000002,0
RA-127,2024,Fase 5,Topázio,16,Feminino,Sim,10.0,7.833333333333333,9.488636363666666,8.751,7.51,7.625,8.538,8.5605939394,1.4333333333333327,1.6886363636666664,1.25,0
RA-1275,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,8.0,8.6666666665,10.0,6.26,5.625,5.446666667,7.611366666700001,0.0,0.0,0.0,0
RA-1276,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,8.0,9.3333333335,10.0,3.76,7.5,7.05,8.002866666700001,0.0,0.0,0.0,0
RA-1277,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,8.0,9.0833333335,10.0,3.76,7.5,7.046666667,7.952200000100001,0.0,0.0,0.0,0
RA-1278,2024,Fase 0 (Alfa),Quartzo,9,Masculino,Não,5.0,7.5,4.1666666665,9.002,3.76,5.0,4.173333333,5.444199999900001,0.0,0.0,0.0,1
RA-1279,2024,Fase 0 (Alfa),Topázio,9,Feminino,Não,5.0,8.25,10.0,10.0,6.26,7.5,7.78,8.0822,0.0,0.0,0.0,1
RA-128,2022,Fase 4,Nao_Informado,15,Masculino,Não,5.0,5.6,6.2,0.0,7.5,,6.167,5.563,0.0,0.0,0.0,1
RA-128,2023,Fase 5,Agata,16,Masculino,Sim,5.0,5.7,7.3,6.7,5.0,7.34375,7.5475,6.503908333,0.10000000000000053,1.0999999999999996,-2.5,1
RA-1280,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.5,9.5454545455,10.0,6.26,7.5,8.336666667,8.152624242500002,0.0,0.0,0.0,1
RA-1281,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,9.25,9.5454545455,7.918,6.26,7.5,7.78,7.982890909100001,0.0,0.0,0.0,1
RA-1282,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,9.25,8.1136363635,9.502,6.26,7.5,7.89,7.8769272727000015,0.0,0.0,0.0,1
RA-1283,2024,Fase 0 (Alfa),Topázio,10,Masculino,Não,5.0,9.0,9.230769231,10.0,7.51,7.5,8.28,8.3033538462,0.0,0.0,0.0,1
RA-1284,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,10.0,9.347826087,9.002,2.51,7.8125,7.89,8.3800152174,0.0,0.0,0.0,0
RA-1285,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,8.0,8.830227742999998,10.0,2.51,7.5,8.946666667,8.156578882000002,0.0,0.0,0.0,0
RA-1286,2024,Fase 0 (Alfa),Quartzo,7,Masculino,Não,10.0,7.0,5.051759834,8.002,2.51,5.3125,4.61,5.914801966800001,0.0,0.0,0.0,0
RA-1287,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,7.75,9.3064182195,10.0,2.51,8.125,8.223333333,7.619650310500001,0.0,0.0,0.0,1
RA-1288,2024,Fase 0 (Alfa),Ametista,7,Feminino,Não,10.0,10.0,7.9813664595,9.002,2.51,7.1875,7.273333333,7.9208899585,0.0,0.0,0.0,0
RA-1289,2024,Fase 0 (Alfa),Ametista,10,Feminino,Não,5.0,7.75,9.4444444445,7.002,7.51,5.9375,6.166666667,7.2171722223,0.0,0.0,0.0,1
RA-129,2022,Fase 4,Nao_Informado,15,Masculino,Não,5.0,6.7,6.4,6.7,7.5,,7.792,6.926,0.0,0.0,0.0,1
RA-1290,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.75,10.0,10.0,7.51,7.5,8.28,8.407200000000001,0.0,0.0,0.0,1
RA-1291,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.25,9.5,9.502,7.51,7.5,7.89,8.079200000000002,0.0,0.0,0.0,1
RA-1292,2024,Fase 0 (Alfa),Agata,9,Feminino,Não,5.0,8.25,4.7727272725,7.502,7.51,7.1875,7.893333333,6.9031621211,0.0,0.0,0.0,1
RA-1293,2024,Fase 0 (Alfa),Topázio,9,Feminino,Não,5.0,8.5,9.4949494945,8.002,7.51,6.875,8.336666667,8.005023232300001,0.0,0.0,0.0,1
RA-1294,2024,Fase 0 (Alfa),Ametista,10,Masculino,Não,5.0,7.75,10.0,9.502,7.51,6.875,7.553333333,7.9493666666,0.0,0.0,0.0,1
RA-1295,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,7.5,9.5227272725,10.0,2.51,7.5,8.28,8.0617454545,0.0,0.0,0.0,0
RA-1296,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,6.5,8.4444444445,9.002,2.51,7.5,8.336666667,7.0574222223000005,0.0,0.0,0.0,1
RA-1297,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,5.0,9.25,9.761904762,9.502,2.51,7.5,6.833333333,7.620247619000001,0.0,0.0,0.0,1
RA-1298,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,6.75,6.643356643500001,9.502,7.51,7.1875,7.393333333,7.577287995300001,0.0,0.0,0.0,0
RA-1299,2024,Fase 0 (Alfa),Ametista,10,Masculino,Não,5.0,6.5,7.638888889,8.502,7.51,7.1875,7.11,7.069727777800001,0.0,0.0,0.0,1
RA-13,2022,Fase 7,Nao_Informado,18,Masculino,Não,5.0,4.7,7.4,7.9,7.5,,8.056,6.902,0.0,0.0,0.0,1
RA-130,2022,Fase 4,Nao_Informado,16,Feminino,Não,5.0,4.1,4.7,8.3,5.0,,6.5,5.624,0.0,0.0,0.0,1
RA-1300,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,9.0,8.75,8.502,2.51,7.5,8.613333333,7.623866666600001,0.0,0.0,0.0,1
RA-1301,2024,Fase 0 (Alfa),Quartzo,8,Masculino,Não,5.0,7.0,2.9166666665000003,9.502,2.51,7.5,6.0,5.6345333333,0.0,0.0,0.0,1
RA-1302,2024,Fase 0 (Alfa),Quartzo,8,Masculino,Não,10.0,4.0,5.416666667,10.0,2.51,6.25,4.996666667,5.758866666800001,0.0,0.0,0.0,0
RA-1303,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,10.0,10.0,10.0,2.51,7.5,9.17,8.8352,0.0,0.0,0.0,0
RA-1304,2024,Fase 0 (Alfa),Ametista,10,Feminino,Não,5.0,6.0,7.9575163395,9.002,8.135,7.8125,6.493333333,7.085119934500001,0.0,0.0,0.0,1
RA-1305,2024,Fase 0 (Alfa),Agata,10,Feminino,Não,5.0,4.75,8.710526316,8.502,2.51,7.8125,8.053333333,6.685221929800001,0.0,0.0,0.0,1
RA-1306,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,5.0,9.75,10.0,9.002,8.135,7.5,7.946666667,8.503033333400001,0.0,0.0,0.0,1
RA-1307,2024,Fase 0 (Alfa),Agata,8,Masculino,Não,10.0,5.5,5.833333333500001,10.0,6.255,6.25,5.383333333,6.5940333333000005,0.0,0.0,0.0,0
RA-1308,2024,Fase 0 (Alfa),Agata,9,Feminino,Não,5.0,6.0,7.445652174,10.0,7.51,7.5,5.933333333,6.876997101400001,0.0,0.0,0.0,1
RA-1309,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,7.5,9.1666666665,9.002,7.51,7.5,8.223333333,8.379199999899999,0.0,0.0,0.0,0
RA-131,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,5.6,9.0,8.8,5.6,,7.75,7.174,0.0,0.0,0.0,1
RA-131,2023,Fase 5,Quartzo,16,Feminino,Não,5.0,2.2,7.8,8.3,5.0,7.65625,6.8,5.952358333,-3.3999999999999995,-1.2000000000000002,-0.5999999999999996,1
RA-131,2024,Fase 5,Ametista,17,Feminino,Não,5.0,5.0,9.444444444666669,8.751,7.51,7.708333333,7.386666667,7.263155555633333,2.8,1.6444444446666688,2.51,1
RA-1310,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,10.0,9.375,8.502,2.51,7.8125,8.166666667,8.3907833334,0.0,0.0,0.0,0
RA-1311,2024,Fase 0 (Alfa),Agata,8,Masculino,Não,10.0,0.0,9.166666667,9.002,2.51,7.5,8.386666667,6.4118666668,0.0,0.0,0.0,0
RA-1312,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,6.5,8.333333333,10.0,7.51,6.25,8.336666667,7.510200000000001,0.0,0.0,0.0,1
RA-1313,2024,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,6.25,8.125,9.502,7.51,7.5,8.446666667,8.0155333334,0.0,0.0,0.0,0
RA-1314,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,9.0,8.541666667,7.418,7.51,7.5,7.443333333,8.239799999999999,0.0,0.0,0.0,0
RA-1315,2024,Fase 0 (Alfa),Topázio,7,Masculino,Não,10.0,9.0,8.3333333335,6.834,7.51,7.5,8.5,8.3510666667,0.0,0.0,0.0,0
RA-1316,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,7.75,8.20855615,9.002,7.51,7.5,7.5,7.59291123,0.0,0.0,0.0,1
RA-1317,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,10.0,7.0721925135,7.502,7.51,7.5,7.5,7.665638502700001,0.0,0.0,0.0,1
RA-1318,2024,Fase 0 (Alfa),Agata,8,Feminino,Não,5.0,5.0,7.6871657755,8.502,7.51,7.1875,7.33,6.823383155100001,0.0,0.0,0.0,1
RA-1319,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,8.5,5.7516339865,8.502,7.51,7.5,7.5,7.201526797300001,0.0,0.0,0.0,1
RA-132,2022,Fase 4,Nao_Informado,14,Feminino,Não,10.0,7.7,8.8,10.0,5.6,,8.458,8.355,0.0,0.0,0.0,0
RA-132,2023,Fase 5,Ametista,15,Feminino,Sim,10.0,6.5,8.7,7.5,2.52,7.65625,7.715,7.350625,-1.2000000000000002,-0.10000000000000142,-3.0799999999999996,0
RA-132,2024,Fase 6,Topázio,16,Feminino,Sim,10.0,8.333333333333334,8.380952380666665,8.334,7.51,8.59375,8.44,8.4746321428,1.833333333333334,-0.31904761933333425,4.99,0
RA-1320,2024,Fase 0 (Alfa),Ametista,10,Masculino,Não,5.0,8.25,9.1666666665,9.002,7.51,7.5,7.5,7.8845333333,0.0,0.0,0.0,1
RA-1321,2024,Fase 0 (Alfa),Ametista,7,Masculino,Não,10.0,8.75,8.875,9.002,6.885,6.5625,5.915,7.95295,0.0,0.0,0.0,0
RA-1322,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,7.5,9.0,9.502,7.51,8.4375,8.165,8.47795,0.0,0.0,0.0,0
RA-1323,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,7.0,9.0833333335,10.0,7.51,6.875,6.66,7.487366666700001,0.0,0.0,0.0,1
RA-1324,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.5,10.0,10.0,7.51,7.8125,8.0,8.332450000000001,0.0,0.0,0.0,1
RA-1325,2024,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,10.0,9.5227272725,9.002,7.51,8.4375,7.915,8.9824954545,0.0,0.0,0.0,0
RA-1326,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,10.0,4.5,9.2916666665,9.002,7.51,7.8125,7.245,7.6397833333,0.0,0.0,0.0,0
RA-1327,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,7.5,9.3333333335,9.002,7.51,7.8125,7.325,8.264116666700001,0.0,0.0,0.0,0
RA-1328,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,5.0,10.0,8.2083333335,8.502,7.51,7.5,7.83,8.0588666667,0.0,0.0,0.0,1
RA-1329,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,6.5,10.0,9.502,7.51,6.5625,6.66,7.98945,0.0,0.0,0.0,0
RA-133,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,5.6,7.1,7.9,7.5,,7.625,6.875,0.0,0.0,0.0,1
RA-133,2023,Fase 5,Agata,16,Feminino,Não,5.0,5.3,7.9,7.5,2.52,7.1875,6.505,6.168416667,-0.2999999999999998,0.8000000000000007,-4.98,1
RA-1330,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,9.5,9.3333333335,10.0,7.51,8.4375,7.915,8.944616666700002,0.0,0.0,0.0,0
RA-1331,2024,Fase 0 (Alfa),Ametista,7,Feminino,Não,10.0,7.25,7.291666666499999,9.002,7.51,8.4375,7.245,7.8522833333,0.0,0.0,0.0,0
RA-1332,2024,Fase 0 (Alfa),Topázio,10,Masculino,Não,5.0,8.25,9.411764706,8.502,7.51,9.375,7.665,8.1040529412,0.0,0.0,0.0,1
RA-1333,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,9.25,10.0,7.502,6.255,9.375,7.75,8.213199999999999,0.0,0.0,0.0,1
RA-1334,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,9.0,10.0,10.0,5.625,9.375,7.75,8.350200000000001,0.0,0.0,0.0,1
RA-1335,2024,Fase 0 (Alfa),Topázio,10,Masculino,Não,5.0,8.75,9.75,9.002,7.51,9.375,7.665,8.3217,0.0,0.0,0.0,1
RA-1336,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,9.5,6.2008281575,9.502,2.51,7.5,7.75,7.141365631500001,0.0,0.0,0.0,1
RA-1337,2024,Fase 0 (Alfa),Agata,10,Masculino,Não,5.0,6.0,4.722222222,8.002,7.51,6.875,5.66,6.015144444400001,0.0,0.0,0.0,1
RA-1338,2024,Fase 0 (Alfa),Agata,8,Masculino,Não,5.0,3.0,8.6607142855,8.002,7.51,6.875,5.33,6.1368428571,0.0,0.0,0.0,1
RA-1339,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,8.75,10.0,8.502,6.885,5.0,5.33,7.3547,0.0,0.0,0.0,1
RA-134,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,4.7,6.8,8.8,7.5,,7.375,6.607,0.0,0.0,0.0,1
RA-1340,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,10.0,8.392857143,9.502,7.51,5.625,7.0,8.3422714286,0.0,0.0,0.0,0
RA-1341,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,10.0,9.246031746,10.0,7.51,5.625,6.0,7.862906349200001,0.0,0.0,0.0,1
RA-1342,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,5.0,9.0,9.761904762,9.502,7.51,7.5,5.575,7.8185809524,0.0,0.0,0.0,1
RA-1343,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,9.75,10.0,8.002,7.51,6.25,8.5,8.8262,0.0,0.0,0.0,0
RA-1344,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,10.0,10.0,8.502,7.51,8.75,9.425,9.3612,0.0,0.0,0.0,0
RA-1345,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,6.25,9.4590643275,8.502,7.51,6.25,6.83,7.2340128655,0.0,0.0,0.0,1
RA-1346,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,5.5,8.0595238095,9.502,7.51,6.25,6.66,7.3701047619,0.0,0.0,0.0,0
RA-1347,2024,Fase 0 (Alfa),Agata,9,Masculino,Não,5.0,5.0,8.7857142855,8.502,2.51,5.625,6.165,6.153842857100001,0.0,0.0,0.0,1
RA-1348,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,5.0,9.0,8.5913312695,7.502,7.51,8.75,7.83,7.9604662539,0.0,0.0,0.0,1
RA-1349,2024,Fase 0 (Alfa),Ametista,10,Masculino,Não,5.0,8.5,8.388888889,8.002,7.51,8.4375,7.915,7.855727777800001,0.0,0.0,0.0,1
RA-135,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,8.6,7.8,8.3,5.6,,8.583,7.692,0.0,0.0,0.0,1
RA-1350,2024,Fase 0 (Alfa),Topázio,10,Feminino,Não,5.0,8.5,10.0,8.502,8.755,8.4375,7.83,8.335450000000002,0.0,0.0,0.0,1
RA-1351,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.75,9.230769231,9.002,8.13,8.4375,7.665,8.1861038462,0.0,0.0,0.0,1
RA-1352,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.5,9.5,10.0,8.13,8.4375,7.665,8.289950000000001,0.0,0.0,0.0,1
RA-1353,2024,Fase 0 (Alfa),Agata,10,Feminino,Não,5.0,3.0,9.5,8.002,7.51,6.875,6.08,6.454700000000001,0.0,0.0,0.0,1
RA-1354,2024,Fase 0 (Alfa),Ametista,10,Feminino,Não,5.0,6.0,8.3636363635,9.502,7.51,8.125,7.335,7.353427272700001,0.0,0.0,0.0,1
RA-1355,2024,Fase 0 (Alfa),Ametista,10,Masculino,Não,5.0,7.0,6.5227272725,10.0,7.51,8.125,7.17,7.202245454500001,0.0,0.0,0.0,1
RA-1356,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,10.0,5.5,9.4444444445,9.002,7.51,8.125,7.085,7.8695888889,0.0,0.0,0.0,0
RA-1357,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,6.75,7.5,8.002,7.51,8.125,7.335,7.1807,0.0,0.0,0.0,1
RA-1358,2024,Fase 0 (Alfa),Agata,7,Feminino,Não,10.0,4.0,7.380952381,9.168,5.01,6.25,6.17,6.552990476200001,0.0,0.0,0.0,0
RA-1359,2024,Fase 0 (Alfa),Ametista,7,Feminino,Não,10.0,6.0,9.0,8.502,5.635,5.625,6.17,7.2102,0.0,0.0,0.0,0
RA-136,2022,Fase 4,Nao_Informado,15,Masculino,Não,5.0,4.6,6.3,10.0,7.5,,6.667,6.478,0.0,0.0,0.0,1
RA-1360,2024,Fase 0 (Alfa),Agata,8,Masculino,Não,10.0,5.0,7.0018115945,8.502,7.51,5.625,6.42,6.8480623189,0.0,0.0,0.0,0
RA-1361,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,10.0,9.375,9.502,5.635,7.5,8.0,8.738700000000001,0.0,0.0,0.0,0
RA-1362,2024,Fase 0 (Alfa),Ametista,7,Masculino,Não,10.0,8.5,6.875,10.0,5.635,6.875,6.915,7.709200000000001,0.0,0.0,0.0,0
RA-1363,2024,Fase 0 (Alfa),Ametista,7,Feminino,Não,10.0,6.5,10.0,7.418,5.635,6.875,6.99,7.690800000000001,0.0,0.0,0.0,0
RA-1364,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,8.75,8.4166666665,8.002,7.51,6.875,6.99,7.570033333300001,0.0,0.0,0.0,1
RA-1365,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,6.5,9.7916666665,9.002,6.26,6.875,6.99,7.3700333333,0.0,0.0,0.0,1
RA-1366,2024,Fase 0 (Alfa),Agata,8,Feminino,Não,5.0,6.5,6.6032608695,9.002,7.51,7.5,6.99,6.919852173900001,0.0,0.0,0.0,1
RA-1367,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,8.75,8.3804347825,10.0,7.51,7.5,7.5,8.427286956500001,0.0,0.0,0.0,0
RA-1368,2024,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,9.5,10.0,7.002,7.51,7.5,7.5,8.6012,0.0,0.0,0.0,0
RA-1369,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,8.0,8.6304347825,8.502,6.26,7.5,7.5,8.052286956500001,0.0,0.0,0.0,0
RA-137,2022,Fase 4,Nao_Informado,17,Feminino,Não,2.5,7.3,8.9,7.5,5.0,,7.792,7.056,0.0,0.0,0.0,1
RA-137,2023,Fase 5,Quartzo,17,Feminino,Sim,5.0,6.0,6.3,7.1,2.52,6.40625,6.88,5.937025,-1.2999999999999998,-2.6000000000000005,-2.48,1
RA-137,2024,Fase 5,Agata,18,Feminino,Não,5.0,6.833333333333333,7.582972583,9.585,5.005,4.791666667,6.276666667,6.576761183366667,0.833333333333333,1.2829725830000003,2.485,1
RA-1370,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,9.0,8.722222222,10.0,7.51,7.5,7.5,8.0456444444,0.0,0.0,0.0,1
RA-1371,2024,Fase 0 (Alfa),Agata,11,Feminino,Não,5.0,4.5,6.9782608695,7.502,7.51,6.875,7.5,6.4843521739,0.0,0.0,0.0,1
RA-1372,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,10.0,4.75,10.0,9.502,8.13,7.5,7.5,7.9632,0.0,0.0,0.0,0
RA-1373,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,6.75,8.8804347825,9.502,7.51,7.5,7.5,7.577286956500001,0.0,0.0,0.0,1
RA-1374,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,5.25,9.347826087,9.502,7.51,7.5,7.5,7.3707652174,0.0,0.0,0.0,1
RA-1375,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,8.25,10.0,9.502,7.51,7.5,7.5,8.101200000000002,0.0,0.0,0.0,1
RA-1376,2024,Fase 0 (Alfa),Topázio,9,Masculino,Não,5.0,9.75,9.6153846155,9.002,7.51,7.5,7.5,8.2742769231,0.0,0.0,0.0,1
RA-1377,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,5.5,10.0,9.002,8.13,6.875,6.99,7.8987,0.0,0.0,0.0,0
RA-1378,2024,Fase 0 (Alfa),Ametista,10,Feminino,Não,5.0,6.75,9.2857142855,9.002,8.13,7.5,7.5,7.6703428571,0.0,0.0,0.0,1
RA-1379,2024,Fase 0 (Alfa),Agata,8,Masculino,Não,5.0,7.25,8.6842105265,9.502,3.755,5.9375,5.16,6.638292105300001,0.0,0.0,0.0,1
RA-138,2022,Fase 4,Nao_Informado,15,Masculino,Não,5.0,5.6,8.0,9.6,5.6,,6.375,6.738,0.0,0.0,0.0,1
RA-138,2023,Fase 4,Agata,16,Masculino,Não,5.0,4.3,7.9,10.0,6.26,7.34375,7.4175,6.784075,-1.2999999999999998,-0.09999999999999964,0.6600000000000001,1
RA-138,2024,Fase 5,Ametista,17,Masculino,Não,5.0,5.833333333333333,8.751803751666666,9.585,7.51,7.708333333,7.443333333,7.3860274169,1.5333333333333332,0.8518037516666652,1.25,1
RA-1380,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,8.0,8.784461152999999,9.502,4.385,7.1875,7.5,7.964342230600001,0.0,0.0,0.0,0
RA-1381,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,9.5,10.0,9.502,8.13,8.75,7.5,9.038200000000002,0.0,0.0,0.0,0
RA-1382,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,7.5,9.761904762,8.502,7.51,7.8125,7.5,7.834830952400001,0.0,0.0,0.0,1
RA-1383,2024,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,8.5,9.2606516295,8.502,7.51,7.1875,7.5,8.3720803259,0.0,0.0,0.0,0
RA-1384,2024,Fase 0 (Alfa),Agata,10,Masculino,Não,5.0,5.0,7.5689223055,8.002,7.51,6.25,5.16,6.221984461100001,0.0,0.0,0.0,1
RA-1385,2024,Fase 0 (Alfa),Ametista,8,Masculino,Não,5.0,8.0,10.0,10.0,4.385,6.875,7.5,7.7262,0.0,0.0,0.0,1
RA-1386,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,7.25,9.761904762,9.002,7.51,7.5,7.5,7.803580952400001,0.0,0.0,0.0,1
RA-1387,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,8.0,8.759398496,9.502,7.51,7.5,7.5,7.8030796992,0.0,0.0,0.0,1
RA-1388,2024,Fase 0 (Alfa),Ametista,8,Feminino,Não,5.0,5.0,8.214285713999999,9.002,6.88,7.5,7.67,7.015057142799999,0.0,0.0,0.0,1
RA-1389,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,10.0,9.7916666665,9.002,6.88,7.5,8.42,8.980533333299999,0.0,0.0,0.0,0
RA-139,2022,Fase 4,Nao_Informado,17,Masculino,Não,2.5,1.4,3.5,7.1,5.0,,3.917,3.738,0.0,0.0,0.0,1
RA-1390,2024,Fase 0 (Alfa),Topázio,7,Feminino,Não,10.0,8.25,9.7916666665,9.502,5.005,7.5,8.42,8.4930333333,0.0,0.0,0.0,0
RA-1391,2024,Fase 0 (Alfa),Topázio,7,Masculino,Não,10.0,10.0,9.2916666665,8.502,7.51,7.5,8.17,8.8435333333,0.0,0.0,0.0,0
RA-1392,2024,Fase 0 (Alfa),Quartzo,9,Masculino,Não,5.0,0.0,5.625,9.002,7.51,7.5,7.0,5.4262,0.0,0.0,0.0,1
RA-1393,2024,Fase 0 (Alfa),Ametista,7,Feminino,Não,10.0,5.0,7.5,9.502,3.755,7.5,8.42,7.2597,0.0,0.0,0.0,0
RA-1394,2024,Fase 1,Ametista,10,Feminino,Não,5.0,5.75,8.6944444445,9.502,7.51,8.125,8.003333333,7.503255555500002,0.0,0.0,0.0,1
RA-1395,2024,Fase 1,Topázio,9,Feminino,Não,10.0,7.75,10.0,9.502,7.51,7.8125,7.836666667,8.5997833334,0.0,0.0,0.0,0
RA-1396,2024,Fase 1,Ametista,11,Feminino,Não,5.0,6.5,10.0,9.502,7.51,8.125,7.67,7.8477,0.0,0.0,0.0,1
RA-1397,2024,Fase 1,Ametista,10,Feminino,Não,5.0,7.0,10.0,9.002,6.26,8.125,7.946666667,7.8280333334,0.0,0.0,0.0,1
RA-1398,2024,Fase 1,Ametista,11,Feminino,Não,5.0,8.0,9.555335968,6.918,7.51,8.125,8.616666667,7.989700527000001,0.0,0.0,0.0,1
RA-1399,2024,Fase 1,Ametista,11,Feminino,Não,5.0,6.0,9.7727272725,9.002,5.005,7.5,8.166666667,7.438578787899999,0.0,0.0,0.0,1
